Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Фесенко,Орина,Віталіївна,Жінка,06.09.1996,Співак,хутір Калуш,"парк 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 89, Новоселиця, 40054",205-66-84,bashpolchenkostepan@example.net
Бандурка,Надія,Симонівна,Жінка,06.06.1971,Юрист,село Радомишль,"парк Студентський, буд. 7, Балта, 02842",+380 11 575-77-76,liza78@example.net
Шиян,Анастасія,Варфоломіївна,Жінка,20.02.1999,Дипломат,селище Любомль,"площа Рівності, буд. 82, Гайворон, 15875",024 552-72-04,vshukhevych@example.org
Бабак,Владислав,Леонідович,Чоловік,29.03.1939,Стропальник,селище Марганець ,"площа Штильова, буд. 9 кв. 18, Яготин, 86990",+380 44 548-02-01,serhiidrobakha@example.org
Копитко,Азар,Олексаович,Чоловік,14.06.1963,Реабілітолог,хутір Хмільник,"сквер Капітана Кузнецова, буд. 654, Красилів, 50059",004 275-19-93,mazurerika@example.org
Атаманюк,Оксана,Миколаївна,Жінка,05.12.1991,Музичний редактор,місто Шостка,"узвіз Чорноморка, буд. 53 кв. 479, Таврійськ, 62626",493-36-37,marusiaholyk@example.com
Ващенко,Дарина,Русланівна,Жінка,22.11.1979,Диригент,селище Угнів,"провулок Пересипська 4-та, буд. 960, Дубровиця, 37776",+380 (43) 715-51-80,volodymyr65@example.com
Швачко,Йосип,Парменович,Чоловік,30.01.1959,Антрополог,місто Синельникове,"вулиця Житомирська, буд. 69, Мелітополь, 62691",+380 (96) 324-02-21,cnalyvaiko@example.com
Сиротенко,Валентина,Левкоівна,Жінка,07.07.1980,Стоматолог,селище Івано-Франківськ,"набережна Сергія Ейзенштейна, буд. 524, Перевальськ, 59731",+380 77 790-42-91,myronshcherban@example.com
Голобородько,Леон,Пилипович,Чоловік,18.01.1941,Ювелір,селище Хуст,"сквер Олександра Кутузакія, буд. 8, Канів, 81717",034 54 81,okhrim95@example.com
Масляк,Маруся,Леонтіївна,Жінка,24.08.1995,Кінокритик,село Рожище,"проспект Олексіївська, буд. 6 кв. 009, Андрушівка, 62356",008 703 85 12,eduardmasliak@example.net
Андрієвич,Тереза,Семенівна,Жінка,10.05.1966,Модельєр,місто Зоринськ,"вулиця Овідіопольський, буд. 53 кв. 3, Костопіль, 37607",017 860-68-09,ustymizhakevych@example.com
Ярема,Єва,Артемівна,Жінка,06.09.2007,Електрослюсар,місто Теребовля,"набережна Багрицького, буд. 62, Гуляйполе, 28537",038 118-30-78,petro07@example.net
Іщенко,Алла,Максимівна,Жінка,22.09.1972,Філолог,село Полонне,"проспект Вільгельма Габсбурга, буд. 64, Долина , 16744",052 036-28-58,filipenkoiustym@example.net
Павлик,Єлисавета,Леонідівна,Жінка,20.10.1947,Продюсер,село Люботин,"шосе Історія Футболу, буд. 77, Сіверськ, 64991",056 270 68 29,ehavrysh@example.org
Пушкар,Амалія,Альбертівна,Жінка,21.12.2005,Професор,місто Олешки,"площа Кордонний, буд. 860 кв. 13, Марганець , 51252",+380 14 297 38 97,esamoilenko@example.net
Байда,Хома,Тимофійович,Чоловік,03.06.2004,Водій,селище Радехів,"проспект Шоста, буд. 71, Привілля, 67493",+380 (36) 993-39-97,ntkach@example.com
Заїка,Августин,Францович,Чоловік,17.10.1949,Медик,місто Феодосія,"узвіз Бернардацці, буд. 810 кв. 19, Рахів, 45893",+380 17 928-52-87,vashchuksemen@example.net
Червоненко,Марія,Данівна,Жінка,02.09.1969,Паблік рилейшнз,місто Кадіївка,"набережна Світла, буд. 969 кв. 1, Городня, 40728",+380 11 626 70 65,bezborodkobohdanna@example.net
Баштан,Віолетта,Владиславівна,Жінка,26.08.1964,Візажист,селище Очаків,"провулок Головна, буд. 49, Городня, 41449",876 23 36,rubanhalyna@example.com
Теличенко,Марія,Вікторівна,Жінка,30.07.1983,Паралегал,місто Новоукраїнка,"сквер Польовий 1-й, буд. 906, Кривий Ріг, 74068",075 948-96-48,ptsushko@example.org
Гузенко,Орина,Тимофіївна,Жінка,30.07.1990,Державний службовець,хутір Ізюм,"площа Отрадна, буд. 1 кв. 9, Комарно, 48701",054 623 07 03,dzhaivoron@example.org
Алексюк,Марія,Яківівна,Жінка,24.05.1972,Кур'єр,місто Дунаївці,"вулиця Дежньова, буд. 25 кв. 2, Миронівка, 38203",+380 (28) 703-80-51,borys56@example.com
Онуфрієнко,Кирило,Андрійович,Чоловік,07.04.1944,Паралегал,село Лутугине,"провулок Васнецова, буд. 180 кв. 1, Перещепине, 24822",+380 08 209-51-62,allakaras@example.com
Безбородько,Камілла,Парменівна,Жінка,27.02.1938,Електромонтер,селище Львів,"сквер Чорноморський 6-й, буд. 57, Оріхів, 99072",+380 48 717-94-84,liudmyla26@example.net
Оробець,Леон,Адамович,Чоловік,04.01.1972,Кінокритик,село Каховка,"узвіз Сільськогосподарський, буд. 2, Бобровиця, 64875",018 653 99 01,tetianakopytko@example.org
Червоненко,Венедикт,Опанасович,Чоловік,25.02.1961,Маркетолог,місто Тальне,"шосе Амурський 2-й, буд. 229 кв. 3, Радехів, 42852",076 670-92-96,myronmakarenko@example.org
Гавриленко,Лілія,Зиновіївна,Жінка,14.03.1959,Ґрунтознавець,селище Заводське,"сквер 1-ша Суворовська, буд. 78, Гола Пристань, 55240",+380 (61) 909-30-78,iustymshvaika@example.com
